Id,Name,FullName
1182,BTC,Bitcoin
7605,ETH,Ethereum
5031,XRP,XRP
929418,CRO,Crypto.com Chain Token
309621,LINK,Chainlink
171986,USDT,Tether
934491,HMR,Homeros
321992,ADA,Cardano
204788,BNB,Binance Coin
202330,BCH,Bitcoin Cash
935731,DOT,Polkadot
931991,NYE,NewYork Exchange
3808,LTC,Litecoin
936630,UNI,Uniswap Protocol Token
926591,BSV,Bitcoin SV
925809,USDC,USD Coin
166503,EOS,EOS
431235,AION,Aion
5038,XMR,Monero
771595,HT,Huobi Token
4614,XLM,Stellar
166390,XTZ,Tezos
27368,NEO,NEO
310829,TRX,TRON
933526,HEX,HEX
930952,HYN,Hyperion
931926,THX,Thorenext
934650,SENSO,SENSO
937121,PLTC,PlatonCoin
933127,PLF,PlayFuel
925144,OKB,Okex
931676,FTT,FTX Token
928761,WBTC,Wrapped Bitcoin
930621,RSR,Reserve Rights
199107,ATOM,Cosmos
935546,COMP,Compound
5285,XEM,NEM
935562,UMA,UMA
799472,CEL,Celsius Network
930571,LEO,LEO Token
127356,MIOTA,IOTA
3807,DASH,Dash
24854,ZEC,ZCash
714811,THETA,Theta
5324,ETC,Ethereum Classic
236131,VET,VeChain
926388,ABBC,ABBC Coin
932096,BAND,Band Protocol
932637,DAI,Multi Collateral Dai
936952,AAVE,Aave
41192,MKR,Maker
936137,CRV,Curve DAO Token
935984,NEST,Nest Protocol
925204,ZB,ZB
928790,QNT,Quant
935695,BAL,Balancer
931790,BOTX,BOTXCOIN
187440,OMG,OMG Network
935926,YFI,yearn.finance
928919,BTMX,BitMax Token
66193,GNO,Gnosis
186277,ZRX,0x
808414,ONT,Ontology
931777,SXP,Swipe
928723,BTT,BitTorrent
844139,TUSD,True USD
4432,DOGE,Dogecoin
788239,REN,REN
934099,SOLO,Sologenic
107672,BAT,Basic Attention Token
930244,THR,Thorecoin
166594,NMR,Numeraire
4430,DGB,DigiByte
20131,WAVES,Waves
933582,APM,apM Coin
932932,KSM,Kusama
936047,DIA,DIA
879044,CVT,CyberVein
925939,PAX,Paxos Standard
933032,OXT,Orchid Protocol
318169,LRC,Loopring
930413,OCEAN,Ocean Protocol
418694,UQC,Uquid Coin
112392,QTUM,QTUM
930992,ALGO,Algorand
936118,SRM,Serum
925371,TMTG,The Midas Touch Gold
716725,ZIL,Zilliqa
